,Sub,Ses,Run,Awake,External,Future,Past,Other,Valence,Image,Word,Detail
17,1007,1,2,"['3', '4', '4', '3', '3', '4', '3', '2']","['7', '6', '7', '7', '6', '7', '7', '7']","['6', '6', '4', '4', '4', '7', '7', '5']","['4', '4', '6', '4', '4', '4', '4', '5']","['4', '3', '3', '3', '3', '3', '3', '2']","['7', '4', '4', '5', '4', '6', '7', '5']","['7', '5', '4', '3', '3', '4', '7', '5']","['4', '4', '4', '4', '6', '6', '4', '6']","['6', '5', '6', '4', '4', '6', '6', '5']"
18,1007,2,1,"['3', '3', '3', '3', '3', '3', '2', '3']","['6', '4', '6', '8', '6', '6', '6', '6']","['6', '6', '4', '6', '5', '7', '6', '4']","['4', '4', '6', '4', '4', '4', '5', '6']","['4', '4', '3', '3', '5', '3', '3', '4']","['6', '6', '6', '4', '5', '6', '6', '6']","['6', '4', '6', '6', '4', '7', '5', '7']","['4', '3', '4', '4', '4', '4', '5', '3']","['4', '4', '6', '6', '4', '7', '5', '8']"
19,1007,2,2,"['6', '7', '7', '7', '7', '7', '7', '4']","['4', '6', '6', '6', '4', '6', '6', '7']","['3', '4', '4', '4', '4', '4', '3', '7']","['6', '6', '6', '6', '6', '7', '6', '4']","['7', '6', '6', '6', '6', '7', '6', '6']","['7', '6', '6', '6', '6', '7', '6', '4']","['7', '7', '6', '7', '7', '8', '7', '4']","['3', '4', '3', '4', '4', '3', '6', '6']","['7', '7', '6', '6', '6', '8', '6', '6']"
20,1008,1,1,"['7', '4', '4', '7', '4', '8', '3', '7']","['9', '3', '7', '9', '2', '8', '9', '9']","['1', '1', '1', '1', '7', '7', '1', '1']","['1', '7', '7', '1', '7', '1', '1', '1']","['3', '2', '7', '8', '1', '7', '9', '4']","['3', '5', '4', '5', '4', '4', '7', '2']","['6', '9', '7', '2', '6', '8', '9', '1']","['3', '1', '7', '2', '9', '7', '1', '6']","['4', '3', '9', '4', '2', '2', '6', '9']"
21,1008,1,2,"['7', '7', '6', '6', '6', '7', '6', '7']","['9', '9', '7', '6', '6', '9', '1', '9']","['1', '1', '1', '9', '1', '1', '1', '1']","['1', '7', '1', '1', '6', '1', '6', '1']","['2', '3', '4', '1', '1', '8', '1', '2']","['3', '6', '5', '8', '5', '4', '4', '5']","['1', '9', '1', '7', '1', '6', '3', '1']","['1', '2', '8', '8', '4', '9', '4', '1']","['7', '7', '2', '7', '7', '6', '5', '2']"
22,1008,2,1,"['7', '8', '8', '8', '8', '8', '8', '8']","['2', '9', '3', '1', '3', '6', '9', '1']","['1', '2', '8', '9', '9', '8', '1', '9']","['9', '2', '6', '1', '1', '1', '3', '6']","['9', '3', '3', '1', '6', '1', '2', '3']","['7', '6', '2', '4', '4', '5', '3', '4']","['2', '1', '7', '6', '6', '7', '1', '8']","['8', '2', '3', '4', '7', '3', '4', '6']","['2', '7', '8', '6', '8', '6', '4', '9']"
23,1008,2,2,"['9', '9', '9', '8', '9', '9', '9', '8']","['3', '1', '1', '9', '1', '1', '7', '9']","['1', '9', '9', '1', '7', '7', '1', '3']","['7', '4', '6', '1', '7', '7', '7', '1']","['9', '1', '3', '2', '3', '1', '2', '1']","['6', '6', '8', '7', '8', '6', '5', '2']","['8', '6', '7', '9', '6', '9', '2', '1']","['6', '7', '6', '2', '8', '2', '8', '1']","['8', '6', '7', '4', '8', '9', '6', '3']"
24,1009,1,1,"['8', '7', '8', '8', '7', '8', '8', '8']","['8', '3', '7', '6', '3', '4', '6', '8']","['3', '9', '5', '6', '4', '5', '2', '5']","['3', '3', '3', '5', '8', '5', '8', '5']","['1', '3', '4', '4', '3', '4', '5', '6']","['5', '7', '4', '7', '6', '7', '6', '5']","['3', '4', '1', '3', '2', '1', '9', '1']","['3', '6', '6', '8', '8', '1', '3', '7']","['7', '4', '6', '4', '6', '1', '6', '6']"
25,1009,1,2,"['8', '8', '9', '8', '9', '9', '9', '9']","['5', '6', '7', '3', '6', '7', '7', '7']","['4', '2', '6', '4', '9', '2', '9', '4']","['7', '9', '1', '6', '2', '9', '2', '3']","['7', '4', '5', '1', '4', '9', '8', '2']","['5', '6', '5', '5', '5', '6', '6', '5']","['7', '4', '2', '2', '2', '8', '2', '1']","['4', '6', '8', '7', '6', '7', '7', '4']","['9', '6', '1', '2', '2', '4', '3', '6']"
26,1009,2,1,"['8', '8', '9', '8', '9', '8', '8', '8']","['3', '2', '3', '6', '7', '4', '2', '7']","['5', '1', '7', '5', '8', '9', '1', '8']","['7', '9', '3', '3', '3', '1', '9', '4']","['6', '6', '6', '5', '7', '7', '3', '8']","['6', '7', '6', '6', '5', '7', '3', '6']","['9', '8', '4', '1', '7', '1', '4', '6']","['2', '3', '6', '2', '6', '6', '6', '3']","['9', '6', '5', '2', '7', '1', '8', '3']"
